,country,year,gov_exp,date,trade,growth,inf,inv_share,_merge,code,income_cat,balanced
1716,"Congo, Rep.",2001,29.07839862,2001-01-01,130.732481081873,3.80260189913561,0.0559899218140583,16.2427378801933,both,COG,L,False
1718,Croatia,2001,50.14835528,2001-01-01,79.4405856034588,3.11123487893718,3.77670246665889,15.8602128713541,both,HRV,UM,False
1726,Ecuador,2001,20.21813796,2001-01-01,56.128486744205,4.20627185748789,37.6767454518094,10.5029888154804,both,ECU,LM,False
1727,El Salvador,2001,21.67533888,2001-01-01,65.8907385362251,0.879613659882722,3.7508205747202,14.1513571760146,both,SLV,LM,True
1732,Fiji,2001,26.98923765,2001-01-01,129.997341839447,2.00000014675206,4.27267024465105,11.6640085061138,both,FJI,LM,False
1735,Gabon,2001,27.83309341,2001-01-01,83.6386132424108,2.13523342197423,2.13762052701465,18.8528600489042,both,GAB,UM,False
1736,Georgia,2001,16.82195505,2001-01-01,63.3299250824094,4.80729867243699,4.64604442058634,25.6849145939467,both,GEO,L,False
1738,Ghana,2001,14.77458892,2001-01-01,110.045854160811,4.00000012807919,41.509496287803,16.7133412309204,both,GHA,L,False
1741,Guatemala,2001,13.76038977,2001-01-01,70.6690331769476,2.33257486608854,7.28587366610134,14.6006506468668,both,GTM,LM,False
1742,Guinea,2001,15.00291923,2001-01-01,40.1878781394378,3.65834646929586,,7.04616862698948,both,GIN,L,False
1744,Guyana,2001,24.01943022,2001-01-01,199.577000730114,2.2795216592191,2.62741314203332,7.87136206015121,both,GUY,LM,False
1745,Haiti,2001,6.105663536,2001-01-01,27.569933019116,-0.342747883252144,13.31672224251,7.00228176707604,both,HTI,L,False
1746,Honduras,2001,25.06578448,2001-01-01,115.943071737954,2.72319327321379,9.67415556865377,18.4603055169205,both,HND,LM,False
1747,"Hong Kong SAR, China",2001,18.24304081,2001-01-01,240.848977626932,0.560879903600537,-1.65816326530609,21.0411901218794,both,HKG,H,True
1761,"Korea, Rep.",2001,17.55713428,2001-01-01,62.2237972179905,4.85239957151281,4.06657587897792,25.3497313305837,both,KOR,H,True
1765,Lebanon,2001,38.92596478,2001-01-01,55.5568083587026,3.83966927702973,,16.7888149735032,both,LBN,UM,True
1768,Madagascar,2001,15.31006781,2001-01-01,41.0351260923859,5.98023576982733,7.91694484529586,8.42254338562174,both,MDG,L,True
1769,Malaysia,2001,28.22333505,2001-01-01,203.364636010653,0.517675319192861,1.41678473206098,11.4893399777071,both,MYS,UM,True
1772,Mexico,2001,19.54657535,2001-01-01,44.7401090063015,-0.450845253215945,6.36773806235037,16.8611107614381,both,MEX,UM,True
1774,Moldova,2001,29.50770203,2001-01-01,124.500739599353,6.10000039929173,9.7646628575765,12.4341713009836,both,MDA,L,False
1775,Mongolia,2001,35.18486905,2001-01-01,115.81832687888,2.95271054338117,6.27736020484006,18.601190583734,both,MNG,L,False
1783,Niger,2001,13.73249784,2001-01-01,33.0136670843015,7.26813490213235,4.00551428352678,9.61772066199295,both,NER,L,False
